# 华为杯（CPGMCM）研究生赛历年总量统计
# 数据来源：官方获奖名单公告、赛事组委会公开通报；详见 references/awards-data-protocol.md
# 填写规则：仅填入已公开可核实的总量数据；不确定字段一律留空或写 NA，禁止编造。
# 比例字段书写格式示例：1.00%（即该奖项队数 / 参赛队伍总数）。
# 说明：2024 年（第二十一届）仅掌握参赛培养单位数与参赛队伍数，分项奖项比例待核对官方公告；
#       2025 年（第二十二届）总量与分项比例均已公开核实；2020—2023 年总量与分项均待核对官方公告。
年份,届次,参赛培养单位数,参赛队伍数,一等奖队数,一等奖比例,二等奖队数,二等奖比例,三等奖队数,三等奖比例,总获奖队数,总获奖率,数据来源
2020,第十七届,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,待核对官方公告
2021,第十八届,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,待核对官方公告
2022,第十九届,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,待核对官方公告
2023,第二十届,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,待核对官方公告
2024,第二十一届,521,20247,NA,NA,NA,NA,NA,NA,NA,NA,官方公告（总量：521 培养单位 / 20247 队；分项奖项比例待核对）
2025,第二十二届,631,24371,244,1.00%,3085,12.66%,4830,19.82%,8159,33.48%,官方公告（第二十二届已核实）
