年份,届次,题号,文件名,本地相对路径,大小KB,是否压缩包,备注
2021,第十八届,E,E21832010024.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\E\E21832010024.pdf,3285,否,可直接阅读PDF
2021,第十八届,F,F21102480018.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\获数模之星提名奖（12篇）\F21102480018.pdf,5655,否,可直接阅读PDF
2021,第十八届,F,F21102540382.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\F\F21102540382.pdf,928,否,可直接阅读PDF
2021,第十八届,F,F21102870035.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\F\F21102870035.pdf,755,否,可直接阅读PDF
2021,第十八届,F,F21102920005.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\F\F21102920005.pdf,1230,否,可直接阅读PDF
2021,第十八届,F,F21103360050.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\F\F21103360050.pdf,1609,否,可直接阅读PDF
2021,第十八届,F,F21103560049.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\获数模之星提名奖（12篇）\F21103560049.pdf,1530,否,可直接阅读PDF
2021,第十八届,F,F21104870099.pdf,2021年研究生数学建模优秀论文选\6.16 数模论文\F\F21104870099.pdf,2693,否,可直接阅读PDF
2022,第十九届,A,A.zip,2022年研究生数学建模优秀论文选\A.zip,22184,是,需解压后阅读
2022,第十九届,B,B.zip,2022年研究生数学建模优秀论文选\B.zip,28810,是,需解压后阅读
2022,第十九届,C,C.zip,2022年研究生数学建模优秀论文选\C.zip,10741,是,需解压后阅读
2022,第十九届,D,D.zip,2022年研究生数学建模优秀论文选\D.zip,13249,是,需解压后阅读
2022,第十九届,E,E.zip,2022年研究生数学建模优秀论文选\E.zip,31186,是,需解压后阅读
2022,第十九届,F,F.zip,2022年研究生数学建模优秀论文选\F.zip,54084,是,需解压后阅读
2023,第二十届,A,A23100070049.pdf,2023年研究生数学建模竞赛优秀论文选\A23100070049.pdf,2349,否,可直接阅读PDF
2023,第二十届,A,A23102470073.pdf,2023年研究生数学建模竞赛优秀论文选\A23102470073.pdf,4039,否,可直接阅读PDF
2023,第二十届,A,A23102480015.pdf,2023年研究生数学建模竞赛优秀论文选\A23102480015.pdf,2369,否,可直接阅读PDF
2023,第二十届,A,A23102860239.pdf,2023年研究生数学建模竞赛优秀论文选\A23102860239.pdf,5898,否,可直接阅读PDF
2023,第二十届,A,A23102890028.pdf,2023年研究生数学建模竞赛优秀论文选\A23102890028.pdf,1824,否,可直接阅读PDF
2023,第二十届,A,A23103360079.pdf,2023年研究生数学建模竞赛优秀论文选\A23103360079.pdf,37175,否,可直接阅读PDF
2023,第二十届,A,A23103840031.pdf,2023年研究生数学建模竞赛优秀论文选\A23103840031.pdf,3664,否,可直接阅读PDF
2023,第二十届,A,A23104220005.pdf,2023年研究生数学建模竞赛优秀论文选\A23104220005.pdf,5956,否,可直接阅读PDF
2023,第二十届,A,A23104860166.pdf,2023年研究生数学建模竞赛优秀论文选\A23104860166.pdf,3295,否,可直接阅读PDF
2023,第二十届,A,A23105330383.pdf,2023年研究生数学建模竞赛优秀论文选\A23105330383.pdf,2218,否,可直接阅读PDF
2023,第二十届,B,B23100070010.pdf,2023年研究生数学建模竞赛优秀论文选\B23100070010.pdf,9605,否,可直接阅读PDF
2023,第二十届,B,B23100070173.pdf,2023年研究生数学建模竞赛优秀论文选\B23100070173.pdf,1148,否,可直接阅读PDF
2023,第二十届,B,B23102870003.pdf,2023年研究生数学建模竞赛优秀论文选\B23102870003.pdf,3695,否,可直接阅读PDF
2023,第二十届,B,B23102870182.pdf,2023年研究生数学建模竞赛优秀论文选\B23102870182.pdf,1851,否,可直接阅读PDF
2023,第二十届,B,B23103360062.pdf,2023年研究生数学建模竞赛优秀论文选\B23103360062.pdf,3212,否,可直接阅读PDF
2023,第二十届,B,B23104860044.pdf,2023年研究生数学建模竞赛优秀论文选\B23104860044.pdf,2000,否,可直接阅读PDF
2023,第二十届,B,B23105580005.pdf,2023年研究生数学建模竞赛优秀论文选\B23105580005.pdf,3218,否,可直接阅读PDF
2023,第二十届,B,B23106140164.pdf,2023年研究生数学建模竞赛优秀论文选\B23106140164.pdf,1547,否,可直接阅读PDF
2023,第二十届,B,B23111170006.pdf,2023年研究生数学建模竞赛优秀论文选\B23111170006.pdf,1699,否,可直接阅读PDF
2023,第二十届,C,C23102540029.pdf,2023年研究生数学建模竞赛优秀论文选\C23102540029.pdf,3532,否,可直接阅读PDF
2023,第二十届,C,C23102890004.pdf,2023年研究生数学建模竞赛优秀论文选\C23102890004.pdf,1982,否,可直接阅读PDF
2023,第二十届,C,C23102980125.pdf,2023年研究生数学建模竞赛优秀论文选\C23102980125.pdf,3237,否,可直接阅读PDF
2023,第二十届,C,C23103360083.pdf,2023年研究生数学建模竞赛优秀论文选\C23103360083.pdf,2297,否,可直接阅读PDF
2023,第二十届,C,C23103510013.pdf,2023年研究生数学建模竞赛优秀论文选\C23103510013.pdf,3975,否,可直接阅读PDF
2023,第二十届,C,C23104080013.pdf,2023年研究生数学建模竞赛优秀论文选\C23104080013.pdf,4131,否,可直接阅读PDF
2023,第二十届,C,C23106130016.pdf,2023年研究生数学建模竞赛优秀论文选\C23106130016.pdf,4877,否,可直接阅读PDF
2023,第二十届,C,C23106570312.pdf,2023年研究生数学建模竞赛优秀论文选\C23106570312.pdf,12115,否,可直接阅读PDF
2023,第二十届,C,C23107120024.pdf,2023年研究生数学建模竞赛优秀论文选\C23107120024.pdf,6788,否,可直接阅读PDF
2023,第二十届,C,C23910020010.pdf,2023年研究生数学建模竞赛优秀论文选\C23910020010.pdf,3119,否,可直接阅读PDF
2023,第二十届,D,D23100060041.pdf,2023年研究生数学建模竞赛优秀论文选\D23100060041.pdf,6058,否,可直接阅读PDF
2023,第二十届,D,D23102690008.pdf,2023年研究生数学建模竞赛优秀论文选\D23102690008.pdf,3891,否,可直接阅读PDF
2023,第二十届,D,D23102860126.pdf,2023年研究生数学建模竞赛优秀论文选\D23102860126.pdf,5481,否,可直接阅读PDF
2023,第二十届,D,D23103560099.pdf,2023年研究生数学建模竞赛优秀论文选\D23103560099.pdf,5508,否,可直接阅读PDF
2023,第二十届,D,D23104860011.pdf,2023年研究生数学建模竞赛优秀论文选\D23104860011.pdf,5662,否,可直接阅读PDF
2023,第二十届,D,D23105330094.pdf,2023年研究生数学建模竞赛优秀论文选\D23105330094.pdf,6851,否,可直接阅读PDF
2023,第二十届,D,D23106350004.pdf,2023年研究生数学建模竞赛优秀论文选\D23106350004.pdf,4596,否,可直接阅读PDF
2023,第二十届,D,D23106740070.pdf,2023年研究生数学建模竞赛优秀论文选\D23106740070.pdf,6282,否,可直接阅读PDF
2023,第二十届,D,D23116460172.pdf,2023年研究生数学建模竞赛优秀论文选\D23116460172.pdf,2386,否,可直接阅读PDF
2023,第二十届,E,E23100650012.pdf,2023年研究生数学建模竞赛优秀论文选\E23100650012.pdf,5632,否,可直接阅读PDF
2023,第二十届,E,E23102550019.pdf,2023年研究生数学建模竞赛优秀论文选\E23102550019.pdf,10118,否,可直接阅读PDF
2023,第二十届,E,E23103530067.pdf,2023年研究生数学建模竞赛优秀论文选\E23103530067.pdf,6982,否,可直接阅读PDF
2023,第二十届,E,E23103570015.pdf,2023年研究生数学建模竞赛优秀论文选\E23103570015.pdf,7936,否,可直接阅读PDF
